Fecha	Cama	Planta	Frutos
2021-03-23	6	GU-1-25	167
2021-03-23	6	GU-2-25	128
2021-03-23	6	GU-3-25	146
2021-03-23	6	GU-1-35	123
2021-03-23	6	GU-2-35	193
2021-03-23	6	GU-3-35	147
2021-03-23	5	KI-1-25	74
2021-03-23	5	KI-2-25	105
2021-03-23	5	KI-3-25	75
2021-03-23	5	KI-1-35	69
2021-03-23	5	KI-2-35	104
2021-03-23	5	KI-3-35	83
2021-03-23	4	CA-1-25	113
2021-03-23	4	CA-2-25	114
2021-03-23	4	CA-3-25	122
2021-03-23	4	CA-1-35	29
2021-03-23	4	CA-2-35	148
2021-03-23	4	CA-3-35	151
2021-03-23	3	1-25	111
2021-03-23	3	2-25	108
2021-03-23	3	3-25	91
2021-03-23	3	1-35	116
2021-03-23	3	2-35	98
2021-03-23	3	3-35	108
2021-03-23	2	1-25	20
2021-03-23	2	2-25	68
2021-03-23	2	3-25	58
2021-03-23	2	1-35	74
2021-03-23	2	2-35	96
2021-03-23	2	3-35	60
2021-03-23	1	1-25	152
2021-03-23	1	2-25	97
2021-03-23	1	3-25	168
2021-03-23	1	1-35	78
2021-03-23	1	2-35	190
2021-03-23	1	3-35	114
